age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
33,admin.,married,tertiary,no,882,no,no,telephone,21,oct,39,1,151,3,failure,no
42,admin.,single,secondary,no,-247,yes,yes,telephone,21,oct,519,1,166,1,other,yes
33,services,married,secondary,no,3444,yes,no,telephone,21,oct,144,1,91,4,failure,yes
36,management,married,tertiary,no,2415,yes,no,telephone,22,oct,73,1,86,4,other,no
36,management,married,tertiary,no,0,yes,no,telephone,23,oct,140,1,143,3,failure,yes
44,blue-collar,married,secondary,no,1324,yes,no,telephone,25,oct,119,1,89,2,other,no
26,technician,single,tertiary,no,172,no,yes,telephone,4,nov,21,1,140,4,other,no
51,admin.,single,secondary,no,3132,no,no,telephone,5,nov,449,1,176,1,failure,no
33,unemployed,divorced,secondary,no,1005,yes,no,telephone,10,nov,175,1,174,2,failure,no
30,admin.,married,secondary,no,873,yes,no,telephone,12,nov,119,1,167,3,success,no
30,management,single,tertiary,no,1243,yes,no,telephone,13,nov,86,1,174,1,failure,no
44,entrepreneur,married,tertiary,no,1631,yes,no,cellular,17,nov,81,1,195,2,failure,no
51,management,divorced,tertiary,no,119,no,no,cellular,17,nov,200,1,165,2,failure,no
51,technician,married,secondary,no,58,yes,no,cellular,17,nov,79,1,129,2,failure,no
44,management,married,tertiary,no,6203,yes,yes,cellular,17,nov,58,1,188,1,failure,no
34,technician,single,secondary,no,105,yes,no,cellular,17,nov,303,1,196,2,failure,no
49,management,married,tertiary,no,1533,no,no,cellular,17,nov,324,1,172,1,failure,no
47,housemaid,married,tertiary,no,228,yes,no,cellular,17,nov,80,1,118,1,failure,no
40,management,single,secondary,no,1623,yes,no,cellular,17,nov,161,1,167,2,failure,no
47,blue-collar,married,secondary,no,1484,no,no,cellular,17,nov,297,1,119,3,failure,no
38,management,married,tertiary,no,494,no,no,cellular,17,nov,146,1,104,2,other,no
54,technician,single,secondary,no,198,yes,yes,cellular,17,nov,120,1,171,2,failure,no
52,management,married,tertiary,no,1701,yes,yes,cellular,17,nov,381,1,117,2,other,no
48,admin.,divorced,secondary,no,295,yes,no,cellular,17,nov,123,1,164,2,success,no
45,technician,married,secondary,no,1477,yes,no,cellular,17,nov,75,1,132,1,failure,no
39,admin.,married,secondary,no,401,yes,no,cellular,17,nov,396,1,129,2,failure,no
39,blue-collar,married,primary,no,3324,no,no,cellular,17,nov,96,1,131,1,failure,no
37,management,married,tertiary,yes,0,no,no,cellular,17,nov,44,1,123,2,failure,no
49,management,married,tertiary,no,64,no,no,cellular,17,nov,208,1,159,1,success,no
43,technician,married,secondary,no,1865,yes,no,cellular,17,nov,155,1,186,1,failure,no
35,technician,divorced,tertiary,no,1718,yes,yes,cellular,17,nov,74,1,167,16,other,no
50,management,married,secondary,no,633,no,yes,telephone,17,nov,302,1,111,6,failure,no
42,technician,single,tertiary,no,35,yes,yes,cellular,17,nov,38,1,115,5,other,no
56,retired,married,secondary,no,2749,yes,yes,cellular,17,nov,38,1,172,2,failure,no
51,entrepreneur,married,tertiary,no,209,no,no,cellular,17,nov,130,1,111,2,failure,no
50,technician,single,secondary,no,246,yes,no,cellular,17,nov,270,1,123,2,failure,no
45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,483,1,116,1,failure,no
40,services,divorced,secondary,no,5766,yes,yes,cellular,17,nov,68,2,173,1,failure,no
30,management,married,tertiary,no,101,yes,no,cellular,17,nov,348,1,123,1,failure,no
39,management,married,tertiary,no,500,yes,no,cellular,17,nov,257,1,178,2,other,no
36,management,married,tertiary,no,5057,yes,no,cellular,17,nov,70,1,166,10,failure,no
34,housemaid,married,tertiary,no,1265,yes,no,cellular,17,nov,118,1,164,3,failure,no
59,management,married,tertiary,no,0,no,no,cellular,17,nov,90,2,110,2,failure,no
53,services,married,secondary,no,1364,no,no,cellular,17,nov,508,1,115,1,failure,no
46,management,single,tertiary,no,46,no,yes,cellular,17,nov,80,1,152,1,failure,no
52,retired,married,secondary,no,5423,no,yes,cellular,17,nov,93,1,115,1,failure,no
56,technician,divorced,secondary,no,689,yes,no,cellular,17,nov,110,1,103,4,failure,no
34,admin.,single,secondary,no,0,yes,no,cellular,17,nov,214,1,174,2,failure,no
32,admin.,single,secondary,no,4344,yes,no,cellular,17,nov,79,2,118,3,failure,no
59,retired,divorced,secondary,no,514,yes,no,cellular,17,nov,573,1,188,1,other,no
59,management,married,primary,no,252,yes,yes,cellular,17,nov,138,1,175,2,failure,no
40,technician,married,secondary,no,0,yes,no,cellular,17,nov,74,2,196,1,failure,no
43,technician,divorced,secondary,no,-36,yes,no,cellular,17,nov,190,1,104,1,failure,no
43,technician,married,secondary,no,0,no,yes,cellular,17,nov,103,2,193,3,failure,no
55,entrepreneur,divorced,tertiary,no,1730,no,no,cellular,17,nov,89,2,118,3,failure,no
49,services,married,secondary,no,202,yes,no,cellular,17,nov,651,2,104,1,failure,yes
49,entrepreneur,married,tertiary,no,313,yes,no,cellular,17,nov,42,2,188,2,failure,no
39,blue-collar,single,primary,no,419,yes,no,cellular,17,nov,186,1,181,1,failure,no
42,technician,married,tertiary,no,14282,yes,no,cellular,17,nov,77,1,103,4,success,no
56,admin.,married,secondary,no,1270,yes,no,cellular,17,nov,80,2,165,2,other,no
44,admin.,married,secondary,no,4826,yes,no,cellular,17,nov,102,1,185,4,other,no
42,services,married,secondary,no,1048,yes,no,cellular,17,nov,71,1,186,1,failure,no
41,technician,married,secondary,no,112,yes,no,cellular,17,nov,1081,1,131,1,failure,no
51,technician,married,secondary,no,563,yes,no,cellular,17,nov,504,1,123,3,failure,no
36,blue-collar,married,secondary,no,1797,yes,yes,cellular,17,nov,166,1,181,2,failure,no
52,technician,married,tertiary,no,3440,yes,no,cellular,17,nov,124,1,131,1,failure,no
42,entrepreneur,married,tertiary,no,373,no,no,cellular,17,nov,174,1,154,3,failure,no
45,technician,married,secondary,no,2020,yes,no,cellular,17,nov,62,1,131,1,failure,no
35,entrepreneur,married,secondary,no,24,yes,no,cellular,17,nov,128,1,181,1,failure,no
38,management,married,tertiary,no,425,yes,no,cellular,17,nov,240,1,181,1,failure,no
47,technician,married,secondary,no,80,no,yes,cellular,17,nov,74,1,145,1,failure,no
43,self-employed,married,secondary,no,634,yes,no,cellular,17,nov,65,1,131,1,failure,no
33,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,809,3,181,1,other,no
40,blue-collar,single,secondary,no,677,yes,no,cellular,17,nov,619,1,171,5,other,no
54,technician,married,secondary,no,899,no,yes,cellular,17,nov,61,1,145,1,other,no
50,management,married,tertiary,no,830,no,no,cellular,17,nov,71,1,138,2,failure,no
54,services,married,secondary,no,2719,yes,no,cellular,17,nov,166,2,171,2,failure,no
44,unemployed,married,secondary,no,0,yes,no,cellular,17,nov,58,1,195,2,failure,no
43,blue-collar,divorced,secondary,no,-259,no,no,cellular,17,nov,732,1,171,2,other,no
51,management,married,tertiary,no,248,yes,yes,cellular,17,nov,139,2,126,3,failure,no
51,technician,married,secondary,no,12061,yes,no,cellular,17,nov,150,1,188,1,failure,no
42,technician,single,secondary,no,-15,no,no,cellular,17,nov,89,1,145,1,failure,no
46,services,divorced,secondary,no,0,no,no,cellular,17,nov,407,1,150,3,success,no
50,management,married,tertiary,no,4,no,no,cellular,17,nov,223,1,96,2,failure,no
44,management,married,tertiary,no,1451,yes,no,cellular,17,nov,157,3,150,12,failure,no
41,unemployed,married,primary,no,557,yes,no,cellular,17,nov,158,1,173,1,failure,no
37,management,single,tertiary,no,600,yes,no,cellular,17,nov,116,2,196,1,failure,no
53,admin.,married,secondary,no,350,no,yes,cellular,17,nov,113,3,132,2,failure,no
53,self-employed,married,secondary,no,248,no,yes,cellular,17,nov,99,1,126,3,failure,no
52,technician,married,secondary,no,1818,no,yes,cellular,17,nov,189,2,111,4,failure,no
36,management,divorced,tertiary,no,3837,yes,no,cellular,17,nov,184,1,193,1,success,no
37,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no
44,management,married,tertiary,no,58,yes,no,cellular,17,nov,48,1,126,3,failure,no
59,management,divorced,tertiary,no,3552,yes,no,cellular,17,nov,690,1,123,7,other,no
32,admin.,married,secondary,no,0,yes,yes,cellular,17,nov,159,2,195,2,failure,no
41,management,married,tertiary,no,20,yes,no,cellular,17,nov,99,1,151,2,failure,no
37,services,married,secondary,yes,-954,yes,no,cellular,17,nov,69,1,180,3,failure,no
43,housemaid,married,primary,no,0,no,yes,cellular,17,nov,836,1,129,2,failure,no
51,blue-collar,married,primary,no,230,yes,no,cellular,17,nov,174,1,195,1,failure,no
56,management,married,tertiary,no,505,yes,yes,cellular,17,nov,171,1,172,2,failure,no
44,services,married,secondary,no,3843,yes,no,cellular,17,nov,70,1,150,2,other,no
56,management,single,primary,no,109,no,yes,telephone,17,nov,124,1,129,18,other,no
39,self-employed,married,tertiary,no,5,yes,no,cellular,17,nov,118,2,131,1,other,no
38,technician,married,secondary,no,821,yes,yes,cellular,17,nov,224,2,180,1,failure,no
42,technician,married,primary,no,275,no,no,cellular,17,nov,295,2,109,9,failure,no
34,management,single,tertiary,no,1049,yes,no,cellular,17,nov,101,2,129,1,failure,no
38,blue-collar,married,primary,no,0,yes,no,cellular,17,nov,78,2,193,2,failure,no
53,retired,married,tertiary,no,2269,no,no,cellular,17,nov,1091,2,150,1,success,yes
41,blue-collar,married,secondary,no,271,yes,no,cellular,17,nov,148,2,172,2,failure,no
48,management,divorced,tertiary,no,-478,yes,no,cellular,17,nov,87,5,167,6,failure,no
54,management,married,tertiary,no,3795,yes,yes,cellular,17,nov,227,2,119,1,failure,no
55,entrepreneur,married,secondary,no,653,yes,no,cellular,17,nov,193,2,186,1,failure,no
38,technician,single,secondary,no,1255,yes,no,cellular,17,nov,151,2,171,2,failure,no
50,technician,divorced,secondary,no,-403,no,yes,cellular,17,nov,130,2,119,2,failure,no
42,unemployed,married,primary,no,2636,no,no,cellular,17,nov,178,2,151,1,failure,no
40,housemaid,married,secondary,no,1029,yes,yes,cellular,17,nov,117,2,117,3,failure,no
38,admin.,married,secondary,no,0,no,no,telephone,17,nov,599,2,158,8,other,no
57,management,married,secondary,no,1502,no,no,telephone,17,nov,340,2,109,11,failure,no
30,technician,single,secondary,no,426,yes,no,telephone,17,nov,127,4,111,6,failure,no
56,management,single,secondary,no,237,yes,no,telephone,17,nov,117,3,131,4,failure,no
39,technician,married,secondary,no,8,no,yes,cellular,17,nov,333,2,96,2,failure,no
43,services,divorced,secondary,no,1043,yes,no,cellular,17,nov,57,4,119,3,failure,no
42,services,married,secondary,no,1027,yes,no,telephone,17,nov,188,2,168,2,failure,no
44,management,married,tertiary,no,724,yes,no,cellular,17,nov,157,2,172,1,failure,no
36,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,273,2,131,1,failure,no
40,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no
43,management,married,tertiary,no,2767,yes,no,cellular,17,nov,374,1,186,7,failure,no
40,technician,married,secondary,no,1269,yes,no,cellular,17,nov,353,1,172,1,failure,no
56,services,married,secondary,no,1150,no,yes,cellular,17,nov,107,1,117,3,failure,no
37,technician,married,secondary,no,5115,yes,no,cellular,17,nov,1210,2,171,4,failure,yes
56,management,single,tertiary,no,1092,yes,yes,cellular,17,nov,176,3,186,4,failure,no
37,management,married,secondary,no,121,no,yes,cellular,17,nov,211,2,151,2,failure,no
58,blue-collar,divorced,secondary,no,644,no,yes,cellular,17,nov,220,4,109,4,failure,no
45,entrepreneur,married,secondary,no,781,no,yes,cellular,17,nov,652,2,126,2,failure,yes
50,technician,married,secondary,no,0,yes,no,cellular,17,nov,114,4,168,2,failure,no
46,admin.,married,secondary,no,4958,yes,no,cellular,17,nov,64,3,150,5,other,no
35,services,divorced,secondary,no,204,yes,no,cellular,17,nov,295,1,186,9,other,no
40,blue-collar,married,secondary,no,755,no,no,cellular,17,nov,408,1,117,1,failure,no
43,technician,married,tertiary,no,1201,yes,yes,cellular,18,nov,82,1,97,3,failure,no
40,self-employed,married,tertiary,no,3059,yes,yes,cellular,18,nov,41,1,182,1,failure,no
36,housemaid,married,primary,no,4324,yes,no,cellular,18,nov,139,4,127,4,failure,no
44,management,married,tertiary,no,756,yes,no,cellular,18,nov,65,1,130,2,failure,no
37,blue-collar,married,secondary,no,723,yes,no,cellular,18,nov,119,1,110,2,failure,no
37,technician,married,secondary,no,195,yes,no,cellular,18,nov,68,1,194,2,failure,no
41,technician,married,secondary,no,3275,yes,no,cellular,18,nov,121,1,168,1,other,no
42,entrepreneur,married,tertiary,no,2249,yes,no,telephone,18,nov,228,1,125,5,failure,no
53,technician,married,secondary,no,137,no,yes,cellular,18,nov,52,1,176,1,failure,no
44,technician,married,secondary,no,10888,yes,no,cellular,18,nov,67,1,105,1,failure,no
41,admin.,married,secondary,no,4320,yes,no,cellular,18,nov,164,1,166,2,failure,no
41,blue-collar,married,primary,no,1461,yes,no,cellular,18,nov,290,1,165,2,success,no
48,management,married,secondary,no,4415,yes,no,cellular,18,nov,271,1,102,6,failure,no
58,management,married,tertiary,no,9339,yes,no,telephone,18,nov,52,3,172,3,other,no
56,technician,married,secondary,no,589,yes,no,cellular,18,nov,208,1,26,3,success,no
34,blue-collar,married,secondary,no,559,yes,no,telephone,18,nov,47,1,193,1,other,no
39,admin.,single,tertiary,no,283,yes,no,cellular,18,nov,346,1,179,3,other,no
36,technician,married,secondary,no,154,yes,no,cellular,18,nov,231,1,96,2,other,no
47,management,divorced,tertiary,no,428,yes,no,cellular,18,nov,116,1,167,1,other,no
42,admin.,single,secondary,no,-247,yes,yes,cellular,18,nov,104,2,28,2,success,no
37,technician,married,secondary,no,0,yes,no,cellular,18,nov,173,1,179,6,failure,no
35,management,single,secondary,no,5260,yes,no,cellular,18,nov,59,1,182,2,failure,no
33,technician,single,secondary,no,1769,yes,no,cellular,18,nov,273,1,182,1,failure,no
46,management,married,tertiary,no,4301,yes,yes,cellular,18,nov,50,1,183,2,failure,no
46,technician,married,secondary,no,68,yes,yes,cellular,18,nov,111,2,155,3,failure,no
36,admin.,divorced,secondary,no,454,yes,no,cellular,18,nov,165,1,131,1,failure,no
32,blue-collar,single,secondary,no,53,yes,no,cellular,18,nov,276,1,195,1,failure,no
38,management,single,tertiary,no,1515,yes,no,cellular,18,nov,134,1,110,5,failure,no
37,housemaid,single,tertiary,no,561,no,no,cellular,18,nov,188,1,165,2,failure,no
59,entrepreneur,married,secondary,no,2429,no,yes,cellular,18,nov,79,2,182,7,failure,no
40,services,divorced,secondary,no,1155,no,yes,cellular,18,nov,175,1,138,1,failure,no
59,blue-collar,married,primary,no,14,yes,yes,cellular,18,nov,319,2,182,1,failure,no
