checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
0,24,3,4,1246,2,2,4,3,2,2,3,23,2,1,1,3,1,0,1
1,12,3,4,900,4,0,4,2,2,2,0,23,1,1,1,1,1,0,1
3,6,3,4,672,2,4,1,0,2,4,3,54,1,1,1,2,1,1,1
3,10,3,9,2848,0,0,1,3,0,2,3,32,1,1,1,1,2,0,1
3,48,1,0,7629,4,3,4,1,2,2,0,46,0,1,2,0,2,0,1
0,9,3,6,1206,2,3,4,0,2,4,3,25,1,1,1,1,1,0,1
3,48,1,4,10127,1,0,2,3,2,2,2,44,0,0,1,1,1,0,1
3,24,3,9,2679,2,2,4,0,2,1,2,29,1,1,1,0,1,1,1
3,15,3,4,5324,1,3,1,0,2,4,2,35,1,0,1,1,1,0,1
3,11,1,4,1393,2,2,4,0,2,4,0,35,1,1,2,0,1,0,1
1,12,3,4,3651,3,0,1,3,2,3,1,31,1,1,1,1,2,0,1
1,12,3,1,741,0,4,4,0,2,3,1,22,1,1,1,1,1,0,1
2,10,1,6,1347,4,1,4,3,2,2,1,27,1,1,2,1,1,1,1
1,30,3,3,3108,2,2,2,1,2,4,1,31,1,1,1,3,1,0,1
1,48,4,9,4605,2,3,3,3,2,4,2,24,1,0,2,1,2,0,1
1,12,3,3,3590,2,0,2,3,0,2,1,29,1,1,1,3,2,0,1
2,6,3,3,2116,2,0,2,3,2,2,3,41,1,1,1,1,1,1,1
3,12,1,2,2012,4,1,4,0,2,2,0,61,1,1,1,1,1,0,1
3,11,1,4,7228,2,0,1,3,2,4,1,39,1,1,2,3,1,0,1
1,36,0,3,2746,2,3,4,3,2,4,0,31,0,1,1,1,1,0,1
3,24,1,2,1597,2,3,4,3,2,4,2,54,1,0,2,1,2,0,1
3,24,1,6,2684,2,0,4,3,2,2,3,35,1,1,2,3,1,0,1
0,42,1,0,5954,2,1,2,0,2,1,3,41,0,1,2,3,1,0,1
1,6,1,4,666,3,1,3,0,2,4,3,39,1,1,2,3,1,1,1
3,6,3,6,1595,2,1,3,3,2,2,1,51,1,1,1,1,2,0,1
2,15,1,6,1271,4,0,3,3,2,4,2,39,1,0,2,1,1,1,1
0,15,4,4,1778,2,2,2,0,2,1,3,26,1,2,2,2,1,0,1
0,21,3,3,3976,4,1,2,3,2,3,0,35,1,1,1,1,1,1,1
3,6,3,3,2978,1,0,1,3,2,2,0,32,1,1,1,1,1,1,1
1,24,4,3,4110,2,3,3,3,2,4,2,23,0,2,2,1,2,0,1
0,15,3,7,1308,2,3,4,3,2,4,0,38,1,1,2,3,1,0,1
3,18,0,4,6458,2,3,2,3,2,4,2,39,0,1,2,0,2,1,1
3,36,2,3,7678,1,1,2,0,2,4,0,40,1,1,2,1,1,1,1
3,21,1,4,12680,4,3,4,3,2,4,2,30,1,0,1,0,1,1,1
1,30,4,3,4583,2,0,2,1,1,2,3,32,1,1,2,1,1,0,1
3,24,3,9,7814,2,1,3,3,2,3,0,38,1,1,1,0,1,1,1
1,12,3,4,759,2,1,4,3,2,2,3,26,1,1,1,1,1,0,1
3,24,1,9,3868,2,3,4,0,2,2,0,41,1,2,2,0,1,1,1
3,18,3,7,1943,2,2,4,0,2,4,3,23,1,1,1,1,1,0,1
1,12,1,4,691,2,3,4,3,2,3,1,35,1,1,2,1,1,0,1
1,39,1,3,14179,4,1,4,3,2,4,1,30,1,1,2,0,1,1,1
1,15,2,3,3643,2,3,1,0,2,4,1,27,1,1,2,3,1,0,1
2,24,3,6,1377,0,3,4,0,2,2,2,47,1,0,1,1,1,1,1
0,36,2,4,8086,0,3,2,3,2,4,0,42,1,1,4,0,1,1,1
0,18,1,0,1887,4,0,4,2,2,4,3,28,0,1,2,1,1,0,1
3,12,3,6,707,2,0,4,3,2,2,3,30,0,1,2,1,1,0,1
3,12,3,4,1386,1,0,2,0,2,2,1,26,1,1,1,1,1,0,1
1,24,1,9,6615,2,4,2,3,2,4,2,75,1,0,2,0,1,1,1
3,6,3,7,660,1,1,2,2,2,4,3,23,1,2,1,3,1,0,1
1,9,3,3,2136,2,0,3,3,2,2,3,25,1,1,1,1,1,0,1
2,12,2,4,2247,2,0,2,0,2,2,0,36,2,1,2,1,1,1,1
1,24,3,6,2439,2,2,4,0,2,4,3,35,1,1,1,1,1,1,1
3,30,0,9,7485,4,4,4,0,2,1,3,53,0,1,1,0,1,1,1
3,18,3,6,2051,2,2,4,3,2,1,3,33,1,1,1,1,1,0,1
0,48,4,4,8358,1,2,1,0,2,1,0,30,1,1,2,1,1,0,1
1,18,4,3,3114,2,2,1,0,2,4,1,26,1,2,1,1,1,0,1
3,15,1,9,3368,3,3,3,3,2,4,2,23,1,2,2,1,1,1,1
3,11,3,0,2142,3,3,1,1,2,2,3,28,1,1,1,1,1,1,1
3,18,3,3,1984,2,0,4,3,2,4,2,47,0,0,2,1,1,0,1
0,48,0,0,3566,0,1,4,3,2,2,0,30,1,1,1,1,1,0,1
2,18,3,4,1961,2,3,3,0,2,2,0,23,1,1,1,0,1,0,1
0,7,3,6,2415,2,0,3,3,1,2,3,34,1,1,1,1,1,0,1
1,47,3,4,10722,2,2,1,0,2,1,3,35,1,1,1,3,1,1,1
3,36,1,3,7127,2,2,2,0,2,4,1,23,1,2,2,1,1,1,1
0,24,1,6,1743,2,3,4,3,2,2,1,48,1,1,2,3,1,0,1
1,12,3,6,1107,2,0,2,3,2,2,3,20,1,2,1,0,2,1,1
1,27,4,0,5293,2,4,2,3,2,4,1,50,2,1,2,1,1,1,1
3,18,3,3,3422,2,3,4,3,2,4,1,47,0,1,3,1,2,1,1
0,6,3,6,2063,2,2,4,2,2,3,0,30,1,2,1,0,1,1,1
1,15,3,0,806,2,0,4,0,2,4,1,22,1,1,1,3,1,0,1
3,21,2,0,2580,1,2,4,3,2,2,3,41,0,1,1,3,2,0,1
0,60,3,2,6288,2,0,4,3,2,4,2,42,1,0,1,1,1,0,1
0,12,3,6,1484,4,0,2,2,2,1,3,25,1,1,1,1,1,1,1
1,18,3,9,7511,4,3,1,3,2,4,1,51,1,0,1,1,2,1,1
